school_id,school_name,province,type,is_985,is_211,recruit_number,rank
769,中国疾病预防控制中心,北京,医药类,否,否,105,2000
564,四川音乐学院,四川,艺术类,否,否,364,2000
1015,中共重庆市委党校,重庆,政法类,否,否,95,2000
329,鲁迅美术学院,辽宁,艺术类,否,否,314,2000
1197,河北传媒学院,河北,艺术类,否,否,280,2000
957,中国音乐学院,北京,艺术类,否,否,134,2000
427,天津美术学院,天津,艺术类,否,否,348,2000
755,中国铁道科学研究院,北京,理工类,否,否,109,2000
1187,北京国家会计学院,北京,财经类,否,否,135,2000
398,中共黑龙江省委党校,黑龙江,政法类,否,否,70,2000
16,中国原子能科学研究院,北京,理工类,否,否,297,2000
1058,中共江苏省委党校,江苏,政法类,否,否,102,2000
420,北京舞蹈学院,北京,艺术类,否,否,114,2000
